FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
27095,21639316.15,21020824.14,182.95, ,,,,,,
27097,22951348.14,22726193.75,143.68, ,,,,,,
27099,45990893.26,44070592.16,96.81, ,,,,,,
27101,11854850.94,12195744.22,334.15, ,,,,,,
27103,21101264.81,20626253.63,166.44, ,,,,,,
27105,16608141.4,16744187.21,177.63, ,,,,,,
27107,7354936.04,7783037.46,256.89, ,,,,,,
27109,100976020.13,90659747.41,218.56, ,,,,,,
27111,50366955.68,51407370.04,300.1, ,,,,,,
27113,9156178.35,9369439.92,199.58, ,,,,,,
27115,20412488.14,19969660.61,152.76, ,,,,,,
27117,9944486.02,10338599.06,125.8, ,,,,,,
27119,29088644.78,29935945.48,171.62, ,,,,,,
27121,11032104.92,10985915.28,145.9, ,,,,,,
27123,271231269.33,250010246.27,321.23, ,,,,,,
27125,2805635.01,2892774.37,230.31, ,,,,,,
27127,16864351.07,16977233.15,130.93, ,,,,,,
27129,18101160.54,18193716.73,200.04, ,,,,,,
27131,36685785.38,34823943.95,174.21, ,,,,,,
27133,10047081.47,10337423.46,204.82, ,,,,,,
27135,8174796.92,8341868.24,146.71, ,,,,,,
27139,39865256.19,38182921.81,209.25, ,,,,,,
27141,33086226.18,31481366.78,251.28, ,,,,,,
27143,11959775.64,11921544.85,116.52, ,,,,,,
27137,190738175.22,184069359.97,253.97, ,,,,,,
27145,86056297.61,82922349.09,182.8, ,,,,,,
27147,23118106.96,21595671.5,230.96, ,,,,,,
27149,10894749.05,11056737.5,195.36, ,,,,,,
27151,10520695.37,10615874.67,166.56, ,,,,,,
27153,17533946.09,17643267.58,147.09, ,,,,,,
27155,5679291.06,5860814.24,191.18, ,,,,,,
27999,,,,*,,,,,,
27157,19292836.41,18198149.11,196.66, ,,,,,,
27159,14474882.86,14737902.2,122.25, ,,,,,,
27161,15432680.76,14937167.94,219.93, ,,,,,,
27163,97069914.96,91782598.93,304.51, ,,,,,,
27165,11057461.28,11048224.55,116.04, ,,,,,,
27167,5190070.67,5479062.99,316.65, ,,,,,,
27169,32474253.76,31431653.47,210.85, ,,,,,,
27171,51274850.11,49065740.37,335.48, ,,,,,,
27173,13688928.91,13937066.65,156.28, ,,,,,,
29001,26695059.23,26368950.36,176.89, ,,,,,,
29003,20385842.07,19325499.87,290.07, ,,,,,,
29005,9712067.64,10067320.22,197.68, ,,,,,,
29007,32763407.73,33954520.78,202.88, ,,,,,,
29009,39333709.37,42320242.09,193.27, ,,,,,,
29011,18091136.43,19661358.06,281.7, ,,,,,,
29013,25186832.18,26113856.4,150.93, ,,,,,,
29015,33029554.5,33802685.68,143.57, ,,,,,,
29017,16312590.02,17225234.75,401.41, ,,,,,,
29019,107179123.42,112285953.1,179.8, ,,,,,,
29021,121957506.37,115691917.64,247.01, ,,,,,,
29023,62889597.62,64202028.6,234.93, ,,,,,,
29025,12221846.01,12489387.48,156.85, ,,,,,,
29027,42418265.32,44242931.17,252.65, ,,,,,,
29029,61244341.98,61341782.47,188.22, ,,,,,,
29031,80761578.89,85368059.75,323.15, ,,,,,,
29033,14239626.84,15484852.62,122.86, ,,,,,,
29035,9483534.4,9598902.75,233.06, ,,,,,,
29037,72088466.95,74819618.01,242.52, ,,,,,,
29039,18358070.17,19338591.65,232.39, ,,,,,,
29041,11949071.79,12537762.12,225.2, ,,,,,,
29043,43528612.53,45426475.32,280.43, ,,,,,,
29045,9692287.71,9923831.76,170.9, ,,,,,,
29047,186040325.54,192665003.31,254.67, ,,,,,,
29049,21519008.2,21820403.28,202.94, ,,,,,,
29051,74716424.55,79160387.09,208.38, ,,,,,,
29053,18897527.06,19748046.29,214.66, ,,,,,,
29055,29526624.13,30548511.09,186.4, ,,,,,,
29057,10017327.65,10555645.9,285.23, ,,,,,,
29059,14944059.47,15550185.93,190.11, ,,,,,,
29061,11078068.02,11358130.68,171.95, ,,,,,,
29063,16461066.38,16181639.07,300.5, ,,,,,,
29065,23986500.95,25226464.82,253.25, ,,,,,,
29067,13446105.11,14086813.14,169.76, ,,,,,,
29069,53607168.72,56588636.24,218.59, ,,,,,,
29071,82696376.98,86271881.08,363.98, ,,,,,,
29073,22260579.19,23917491.64,272.18, ,,,,,,
29075,14537506.67,15128800.77,142.63, ,,,,,,
29077,203265184.37,213625685.89,255.95, ,,,,,,
29079,18935944.47,20005956.48,154.61, ,,,,,,
29081,17395361.51,18488851.67,147.01, ,,,,,,
29083,37664746.02,38870196.39,133.49, ,,,,,,
29085,15536829.61,15858675.87,403.08, ,,,,,,
29087,7726375.29,7639539.1,289.65, ,,,,,,
29089,10840991.37,11224489.03,226.53, ,,,,,,
29091,50278848.29,52430562.21,116.6, ,,,,,,
29093,17923138.92,19026181.97,201.78, ,,,,,,
29095,565500207.52,569862421.4,223.37, ,,,,,,
29097,136809264.98,141880804.48,238.43, ,,,,,,
29099,165785727.35,172769732.78,292.06, ,,,,,,
29101,37516012.39,39749561.97,123.77, ,,,,,,
29103,7328304.43,7316954.55,294.59, ,,,,,,
29105,30520154.3,31907515.28,253.26, ,,,,,,
29107,42895900.29,45017697.54,205.69, ,,,,,,
29109,38976686.15,41657893.3,188.34, ,,,,,,
29111,12102334.89,12582694.59,375.93, ,,,,,,
29113,41379276.14,43755630.96,350.34, ,,,,,,
